
---------- Begin Simulation Statistics ----------
simSeconds                                   0.296678                       # Number of seconds simulated (Second)
simTicks                                 296677546500                       # Number of ticks simulated (Tick)
finalTick                                296677546500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1420.25                       # Real time elapsed on the host (Second)
hostTickRate                                208891092                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     684684                       # Number of bytes of host memory used (Byte)
simInsts                                    121450906                       # Number of instructions simulated (Count)
simOps                                      197556527                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85514                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     139100                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        593355094                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.885555                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.204685                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       563958663                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 21759627                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      350672291                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 232188                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            388161757                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1026475980                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            16535561                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           593261579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.591092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.187586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 440857765     74.31%     74.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  55872286      9.42%     83.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  30755782      5.18%     88.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  35891145      6.05%     94.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  26900849      4.53%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1224864      0.21%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    614622      0.10%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    954570      0.16%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    189696      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             593261579                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   88619     10.48%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.48% # attempts to use FU when none available (Count)
